,cluster name
0,accessories
1,action
2,advise
3,aikenexpeditors
4,air
5,allowed
6,alloy
7,alternate
8,andwith
9,angeles
10,apzu
11,aquarium
12,artificial
13,artificialtree
14,assortment
15,asstd
16,astm
17,atcm
18,attn
19,baby
20,backing
21,bag
22,ball
23,bank
24,barbie
25,bark
26,basic
27,basket
28,bath
29,bay
30,baytown
31,beach
32,bills
33,black
34,blaster
35,blk
36,blu
37,blue
38,board
39,booking
40,box
41,boxes
42,boy
43,brad
44,branches
45,branchesor
46,brand
47,brush
48,bulb
49,burg
50,business
51,cable
52,caddy
53,california
54,candle
55,canister
56,card
57,cargo
58,carrier
59,case
60,cases
61,cat
62,caucasian
63,cbm
64,centimeter
65,ceramic
66,chair
67,change
68,charlestonmc
69,china
70,christmas
71,chrome
72,classic
73,clc
74,clear
75,cmas
76,coffee
77,collect
78,collectcopy
79,collectcse
80,collectl
81,collectplease
82,collecttotal
83,color
84,combo
85,commercial
86,coms
87,concerning
88,connection
89,console
90,contact
91,container
92,containsno
93,containwooden
94,contract
95,control
96,cotton
97,count
98,cpk
99,croft
100,croftexpeditors
101,cup
102,cyto
103,dark
104,date
105,declaration
106,decoration
107,deluxe
108,depot
109,depots
110,diameter
111,digital
112,dinner
113,disney
114,dlx
115,documents
116,documentsinstead
117,dog
118,doll
119,dolls
120,dora
121,double
122,drbicycleshts
123,drop
124,electric
125,elwoodflow
126,elwoodvirtual
127,email
128,empty
129,enclosure
130,entered
131,eoa
132,exporter
133,fabric
134,fax
135,fcl
136,feeder
137,figure
138,filled
139,final
140,financing
141,fir
142,fireplace
143,flash
144,flat
145,fleece
146,flex
147,floor
148,fltr
149,foam
150,fob
151,fold
152,following
153,foot
154,footwear
155,formaldehyde
156,friends
157,fruit
158,full
159,fun
160,game
161,garland
162,gel
163,gift
164,girl
165,glass
166,gld
167,gms
168,gold
169,goods
170,great
171,greater
172,green
173,gross
174,gsm
175,hair
176,half
177,harrison
178,haulage
179,heater
180,hinged
181,hldr
182,holder
183,holiday
184,holly
185,house
186,houstonflowgln
187,houstonvirtual
188,icicle
189,imshatsui
190,inch
191,inches
192,india
193,indiana
194,inner
195,intact
196,isconsistent
197,itemnumber
198,jacket
199,jake
200,jersey
201,juice
202,jumbo
203,kgm
204,kid
205,kit
206,knit
207,ladies
208,lalaloopsy
209,lamp
210,large
211,lcd
212,led
213,liability
214,light
215,limbs
216,lip
217,list
218,little
219,loaded
220,logs
221,long
222,los
223,love
224,lrg
225,made
226,madison
227,mainstays
228,mart
229,massager
230,materialcy
231,merchant
232,mesh
233,metal
234,microwave
235,mini
236,mist
237,mount
238,msh
239,mug
240,multi
241,name
242,neck
243,net
244,norfolk
245,notify
246,nse
247,ofscanned
248,oil
249,onlysee
250,open
251,order
252,ordernote
253,original
254,originaland
255,orn
256,ornament
257,ottoman
258,oven
259,packaging
260,packerland
261,packingmaterialwe
262,pallet
263,pallets
264,panel
265,pant
266,paper
267,pct
268,peter
269,peva
270,phase
271,phone
272,pillow
273,pine
274,pineapple
275,pink
276,plaid
277,plastic
278,plated
279,play
280,playset
281,plush
282,poin
283,poins
284,poinsettia
285,polyester
286,princess
287,print
288,printed
289,procedurename
290,product
291,pvc
292,quartz
293,rack
294,radio
295,rail
296,ralph
297,ramp
298,red
299,ref
300,regulatedwood
301,release
302,requirements
303,respect
304,return
305,road
306,roaster
307,room
308,round
309,sailing
310,sams
311,samsgln
312,santa
313,sbm
314,scanned
315,scanneddocuments
316,schneider
317,seal
318,service
319,sets
320,sfu
321,sheet
322,shelf
323,shipped
324,shipper
325,shippers
326,silver
327,size
328,slim
329,slipsheets
330,slv
331,snowflake
332,snowman
333,snp
334,solid
335,spinning
336,sproof
337,square
338,star
339,statesborovirtual
340,steel
341,storaggln
342,stow
343,studio
344,stuffed
345,style
346,suffolkvirtual
347,swb
348,sweet
349,swp
350,table
351,tablecloth
352,tablecover
353,tennis
354,term
355,terry
356,thelast
357,thermal
358,thisshipment
359,thomas
360,tianjin
361,tier
362,tips
363,top
364,towel
365,tower
366,toy
367,toys
368,trad
369,trampoline
370,tree
371,truck
372,twigs
373,upc
374,used
375,value
376,vehicle
377,virtualstorage
378,wall
379,walmart
380,walmartschneider
381,wecertify
382,weight
383,wheel
384,white
385,wht
386,wide
387,wire
388,wish
389,withthe
390,wmmt
391,wooden
392,woodpackaging
393,woven
394,wpm
395,wreath
396,wreck
397,wrth
398,xgang
399,xxx
