,cluster name
0,agreement
1,air
2,allfloor
3,allowed
4,amr
5,ams
6,anada
7,analog
8,ancouver
9,animal
10,antique
11,apples
12,assort
13,assorted
14,assortment
15,atn
16,attn
17,baby
18,bag
19,ball
20,banana
21,bananas
22,basic
23,basket
24,bath
25,bay
26,bbq
27,bedding
28,bench
29,beth
30,bhg
31,big
32,black
33,blanket
34,blk
35,blouse
36,blue
37,board
38,bottles
39,bottom
40,box
41,boxers
42,boxes
43,boy
44,boys
45,brand
46,briefs
47,brush
48,bskt
49,bsv
50,buddy
51,cajas
52,calderonphone
53,cana
54,canad
55,canada
56,canadavendor
57,candles
58,canvas
59,cargo
60,carrier
61,carrots
62,case
63,cases
64,cast
65,cat
66,cbm
67,cdm
68,ceramic
69,chair
70,chef
71,chep
72,cherry
73,chicago
74,china
75,city
76,classic
77,classics
78,clause
79,cleaner
80,clip
81,clock
82,cloth
83,cma
84,collect
85,color
86,contained
87,container
88,containers
89,containing
90,contract
91,core
92,correctness
93,costa
94,cotton
95,count
96,country
97,couver
98,cover
99,cream
100,crew
101,croft
102,cup
103,cut
104,daily
105,date
106,dated
107,declaration
108,declares
109,decoration
110,decorations
111,deep
112,denim
113,desire
114,diced
115,die
116,dinner
117,disney
118,ditto
119,dlm
120,doll
121,double
122,drawer
123,dress
124,duster
125,eaches
126,empty
127,excl
128,ext
129,extra
130,fabric
131,fax
132,fcl
133,fda
134,flc
135,fleece
136,floor
137,flour
138,footwear
139,form
140,freeport
141,fresh
142,front
143,frozen
144,fruit
145,full
146,furniture
147,garan
148,garments
149,gel
150,george
151,gift
152,girls
153,glass
154,gram
155,great
156,green
157,grf
158,gross
159,gry
160,gsm
161,guatemala
162,hand
163,heater
164,hereof
165,holiday
166,home
167,hundred
168,ideal
169,inc
170,inch
171,including
172,india
173,infant
174,iqf
175,iron
176,jacket
177,jersey
178,jkt
179,jsb
180,juice
181,juvy
182,kids
183,kilos
184,kind
185,knit
186,knitted
187,ladies
188,lading
189,lamp
190,large
191,lbs
192,led
193,light
194,logistics
195,long
196,ltd
197,made
198,madeups
199,mainstays
200,maker
201,mal
202,mandarin
203,mart
204,master
205,mblu
206,medium
207,mens
208,mesh
209,metal
210,mexico
211,micro
212,mid
213,mini
214,mixed
215,mlb
216,mns
217,model
218,multi
219,nada
220,name
221,natural
222,ncouver
223,neck
224,net
225,nobo
226,notify
227,nvocc
228,oct
229,oil
230,olive
231,olives
232,open
233,oranges
234,organizer
235,origin
236,oscar
237,ouver
238,packages
239,packaging
240,packed
241,packerland
242,packs
243,pad
244,pallets
245,pant
246,paper
247,parts
248,party
249,pbh
250,pct
251,peaches
252,pencil
253,penguin
254,percent
255,perfect
256,pet
257,peter
258,petfood
259,phone
260,pillow
261,pineapple
262,pink
263,plaid
264,planter
265,plastic
266,plt
267,plush
268,pocket
269,polar
270,polo
271,poly
272,polyester
273,port
274,premiun
275,prepaid
276,princess
277,print
278,printed
279,processed
280,product
281,products
282,promo
283,prs
284,pull
285,queen
286,readymade
287,red
288,refrigerated
289,release
290,removed
291,responsibility
292,retail
293,reversible
294,rfc
295,rgw
296,rica
297,rice
298,road
299,robe
300,rocker
301,rubber
302,rug
303,russet
304,sack
305,safety
306,sams
307,santa
308,satsuma
309,scac
310,schneider
311,scrub
312,seagrs
313,seal
314,sealed
315,shall
316,sheet
317,shipment
318,shipper
319,shippers
320,shirt
321,shoes
322,short
323,shrimp
324,simply
325,six
326,size
327,sku
328,sleeve
329,slipsheets
330,small
331,snowflake
332,snwmn
333,soft
334,solid
335,spandex
336,speaker
337,star
338,steel
339,stow
340,stripe
341,style
342,sweater
343,syrup
344,table
345,tariff
346,tax
347,tee
348,tel
349,temperature
350,teresa
351,terry
352,text
353,thousand
354,throw
355,toaster
356,tools
357,top
358,toronto
359,towel
360,towels
361,toy
362,toys
363,trad
364,tree
365,trends
366,twill
367,twin
368,two
369,unidades
370,usa
371,used
372,uver
373,vacuum
374,value
375,vanc
376,vanco
377,vancou
378,vancouv
379,vancouve
380,vancouver
381,vazquez
382,ventilation
383,verified
384,waffle
385,walmart
386,wash
387,weight
388,white
389,wine
390,winter
391,wire
392,within
393,withinshipment
394,without
395,wooden
396,woodpackaging
397,woven
398,yellow
399,zip
